"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"FLNB",5.86091690120086e-304,0.252217105080763,0.993,0.944,1.90309832698893e-299,"SPN_matrix","FLNB",0.049,0.0123586381489574
"GPM6B",1.56352302834277e-303,0.266131559609047,1,0.974,5.07691562533181e-299,"SPN_matrix","GPM6B",0.026,0.00691942054983522
"INTU",1.10167705480973e-302,0.258708031291484,0.983,0.938,3.57725556467268e-298,"SPN_matrix","INTU",0.045,0.0116418614081168
"TMEM120B",2.41965659968885e-302,0.256547278439686,0.994,0.939,7.85686694484967e-298,"SPN_matrix","TMEM120B",0.055,0.0141101003141827
"GMDS",5.59601936379045e-301,0.260233438179173,1,0.989,1.8170834476164e-296,"SPN_matrix","GMDS",0.011,0.00286256781997091
"CREM",1.34065323396273e-300,0.265401494208216,0.959,0.86,4.35323511600039e-296,"SPN_matrix","CREM",0.099,0.0262747479266134
"KLHL2",2.58613679920622e-300,0.279924858414783,0.999,0.963,8.3974448007025e-296,"SPN_matrix","KLHL2",0.036,0.0100772949029322
"SPOCK3",1.09156934581038e-299,0.339351342218588,1,0.991,3.54443482278087e-295,"SPN_matrix","SPOCK3",0.00900000000000001,0.0030541620799673
"MCTP1",1.67987665083947e-289,0.418564769755273,1,0.976,5.45472747294085e-285,"SPN_matrix","MCTP1",0.024,0.0100455544741266
"CPEB2",2.00874155638514e-288,0.275351327857404,0.994,0.963,6.5225847077382e-284,"SPN_matrix","CPEB2",0.031,0.00853589116357953
"SPATA13",2.59860583763669e-286,0.325515027875416,0.999,0.824,8.43793301539011e-282,"SPN_matrix","SPATA13",0.175,0.0569651298781979
"ZNF365",5.13164158446393e-285,0.276726543640923,0.917,0.782,1.66629533889128e-280,"SPN_matrix","ZNF365",0.135,0.0373580833915246
"ELMO1",8.72801263335037e-279,0.250170408246976,0.999,0.94,2.8340729821752e-274,"SPN_matrix","ELMO1",0.0590000000000001,0.0147600540865716
"FBXO16",1.91620762744439e-275,0.253345337932002,0.982,0.919,6.22211778707469e-271,"SPN_matrix","FBXO16",0.0629999999999999,0.0159607562897161
"VAV3",1.39860140403703e-274,0.251343072812519,0.842,0.655,4.54139861904865e-270,"SPN_matrix","VAV3",0.187,0.047001154615941
"ZNF516",6.41064990690444e-273,0.258790324356103,0.97,0.9,2.08160213127094e-268,"SPN_matrix","ZNF516",0.07,0.0181153227049272
"PRKAG2",1.31613866398888e-270,0.27184370607251,1,0.969,4.27363385583829e-266,"SPN_matrix","PRKAG2",0.031,0.00842715488824781
"FUT9",5.14985370090531e-270,0.284178891356439,1,0.995,1.67220899522096e-265,"SPN_matrix","FUT9",0.005,0.00142089445678219
"BCL11B",5.49338559537789e-269,0.28867595896868,1,0.947,1.78375723667516e-264,"SPN_matrix","BCL11B",0.053,0.01529982582534
"LRRC7",6.32709232762233e-269,0.358568362023364,1,0.991,2.05447014970225e-264,"SPN_matrix","LRRC7",0.00900000000000001,0.00322711525821028
"DMGDH",2.84720654694994e-263,0.255781244623598,0.775,0.596,9.24516437860116e-259,"SPN_matrix","DMGDH",0.179,0.0457848427876241
"EBF1",5.1543657838081e-261,0.561794915771562,0.56,0.365,1.67367411366033e-256,"SPN_matrix","EBF1",0.195,0.109550008575455
"CRIM1",2.92000372275969e-260,0.260532715475061,0.988,0.92,9.48154408817298e-256,"SPN_matrix","CRIM1",0.0679999999999999,0.0177162246523041
"GNG7",3.2235496966548e-260,0.318265443760624,1,0.969,1.04671882200078e-255,"SPN_matrix","GNG7",0.031,0.00986622875657937
"RGS7BP",4.95813593313537e-260,0.279900636397373,0.997,0.988,1.60995631884838e-255,"SPN_matrix","RGS7BP",0.00900000000000001,0.00251910572757636
"NIN",5.43241460502903e-257,0.309384329348023,1,0.93,1.76395934639897e-252,"SPN_matrix","NIN",0.07,0.0216569030543616
"PTPN13",1.87778362365718e-256,0.316721166548865,0.883,0.751,6.09735120437721e-252,"SPN_matrix","PTPN13",0.132,0.0418071939844501
"DACH1",5.47369051600336e-251,0.342211459410994,1,0.878,1.77736204745145e-246,"SPN_matrix","DACH1",0.122,0.0417497980481413
"TPRG1",1.04851558810065e-244,0.259889198596244,0.491,0.272,3.40463496612163e-240,"SPN_matrix","TPRG1",0.219,0.0569157344925775
"DTNBP1",4.67631132672419e-240,0.262846836647624,0.957,0.898,1.51844505090061e-235,"SPN_matrix","DTNBP1",0.0589999999999999,0.0155079633622098
"ST6GALNAC5",3.43200054765948e-239,0.262671191419838,0.988,0.872,1.11440489783051e-234,"SPN_matrix","ST6GALNAC5",0.116,0.0304698582047012
"FRMD5",4.46591042248543e-239,0.278000873943336,1,0.957,1.45012577328524e-234,"SPN_matrix","FRMD5",0.043,0.0119540375795634
"ADCY5",9.62782296843607e-239,0.319422237338792,1,0.983,3.12625039608088e-234,"SPN_matrix","ADCY5",0.017,0.00543017803475947
"NRGN",1.03006756434836e-237,0.253455665080289,0.989,0.792,3.34473238819555e-233,"SPN_matrix","NRGN",0.197,0.0499307660208168
"GSG1L",3.71702402600881e-237,0.257984690105222,0.995,0.871,1.20695487148532e-232,"SPN_matrix","GSG1L",0.124,0.0319901015730476
"SMPD3",8.26096140762985e-237,0.256119564547731,0.98,0.902,2.68241677867149e-232,"SPN_matrix","SMPD3",0.078,0.019977326034723
"KCNIP4",1.47290936761167e-228,0.405790033451052,1,0.971,4.78268400757185e-224,"SPN_matrix","KCNIP4",0.029,0.0117679109700805
"RPL37",1.1879013037173e-224,0.496952612826049,0.93,0.882,3.85723432330045e-220,"SPN_matrix","RPL37",0.048,0.0238537254156504
"ARHGAP10",3.11112280264305e-220,0.254998262552201,0.826,0.642,1.01021268524622e-215,"SPN_matrix","ARHGAP10",0.184,0.0469196803096051
"IQCA1",4.74351425940625e-207,0.413678099923959,0.873,0.799,1.5402665151718e-202,"SPN_matrix","IQCA1",0.074,0.0306121793943729
"NCDN",7.77116147170478e-206,0.262577156357744,0.941,0.88,2.52337384147726e-201,"SPN_matrix","NCDN",0.0609999999999999,0.0160172065378224
"ZC3H12C",5.28588640739771e-200,0.250209121588818,0.992,0.965,1.71638017534611e-195,"SPN_matrix","ZC3H12C",0.027,0.00675564628289808
"FIG4",2.33175239121047e-191,0.39997349058002,0.906,0.865,7.57143318949951e-187,"SPN_matrix","FIG4",0.041,0.0163989131137808
"RPL34",5.28990520900783e-189,0.454302595159789,0.866,0.804,1.71768512041693e-184,"SPN_matrix","RPL34",0.0619999999999999,0.0281667608999069
"ADAMTSL1",3.39388678772017e-187,0.367064657758737,0.461,0.283,1.10202897884062e-182,"SPN_matrix","ADAMTSL1",0.178,0.0653375090810552
"SORBS1",3.24330833386172e-175,0.273514916410977,1,0.999,1.05313464908824e-170,"SPN_matrix","SORBS1",0.001,0.000273514916410978
"PENK",1.23991338690921e-156,0.513866471243677,0.767,0.653,4.02612275863291e-152,"SPN_matrix","PENK",0.114,0.0585807777217791
"RPL36A",3.01583285108972e-148,0.255834097527127,0.556,0.404,9.79271085077343e-144,"SPN_matrix","RPL36A",0.152,0.0388867828241233
"RPL31",3.35888221732287e-146,0.255658666150159,0.861,0.788,1.09066264478691e-141,"SPN_matrix","RPL31",0.073,0.0186630826289616
"CNTNAP3B",2.30690170968937e-145,0.327550278579626,0.715,0.621,7.49074054153236e-141,"SPN_matrix","CNTNAP3B",0.094,0.0307897261864848
"RPL37A",1.52707579145694e-125,0.52621972636381,0.932,0.901,4.95856780243984e-121,"SPN_matrix","RPL37A",0.031,0.0163128115172781
"RYR3",2.35155038390104e-124,0.367939182532147,1,0.878,7.63571925156506e-120,"SPN_matrix","RYR3",0.122,0.0448885802689219
"IL1RAPL1",6.44990552499313e-122,0.259968723751623,1,0.987,2.09434882302052e-117,"SPN_matrix","IL1RAPL1",0.013,0.0033795934087711
"UQCRB",1.13291941140114e-105,0.345174559621663,0.816,0.772,3.67870262076063e-101,"SPN_matrix","UQCRB",0.0439999999999999,0.0151876806233532
"MEIS2",4.10846551112732e-103,0.30554051311,1,0.845,1.33405983611815e-98,"SPN_matrix","MEIS2",0.155,0.04735877953205
"RPL38",5.32029317456039e-99,0.276121091517693,0.666,0.576,1.7275523967115e-94,"SPN_matrix","RPL38",0.0900000000000001,0.0248508982365924
"RPL24",2.246797760658e-72,0.333595039317709,0.721,0.659,7.29557700863259e-68,"SPN_matrix","RPL24",0.0619999999999999,0.020682892437698
"RPS27",2.56144796353031e-64,0.290620534890861,0.73,0.679,8.31727768237927e-60,"SPN_matrix","RPS27",0.0509999999999999,0.0148216472794339
"TOMM7",1.14523549808713e-50,0.262437593449652,0.677,0.621,3.71869418583872e-46,"SPN_matrix","TOMM7",0.056,0.0146965052331805
"RPLP1",6.92035945798412e-33,0.336912695429122,0.734,0.725,2.24710991960202e-28,"SPN_matrix","RPLP1",0.00900000000000001,0.0030322142588621
