"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LINC01951",0,0.711684435935175,0.758,0.358,0,"eSPN","LINC01951"
"MKX",0,0.707474903742668,0.507,0.017,0,"eSPN","MKX"
"ANKRD441",0,0.703320163887173,0.741,0.326,0,"eSPN","ANKRD44"
"LSM14A",0,0.695131364833424,0.975,0.83,0,"eSPN","LSM14A"
"PLCB41",0,0.693775525580574,0.681,0.141,0,"eSPN","PLCB4"
"CACNG51",0,0.692570691627915,0.583,0.012,0,"eSPN","CACNG5"
"MYO61",0,0.692546731882399,1,0.989,0,"eSPN","MYO6"
"KHDRBS32",0,0.686858855089324,0.826,0.427,0,"eSPN","KHDRBS3"
"OTOF",0,0.686636756250849,0.946,0.734,0,"eSPN","OTOF"
"AL445584.21",0,0.686124003220873,0.866,0.49,0,"eSPN","AL445584.2"
"CAMTA11",0,0.685675860843174,1,0.999,0,"eSPN","CAMTA1"
"AFAP11",0,0.683527213000666,0.828,0.459,0,"eSPN","AFAP1"
"SYNPO21",0,0.68311405222162,0.56,0.07,0,"eSPN","SYNPO2"
"KAZN2",0,0.682126440982623,1,1,0,"eSPN","KAZN"
"UST",0,0.680614620773232,0.894,0.675,0,"eSPN","UST"
"GRB14",0,0.679565313194086,0.509,0.06,0,"eSPN","GRB14"
"PRR16",0,0.676268662102828,0.999,0.967,0,"eSPN","PRR16"
"STAMBPL1",0,0.673693358555126,0.885,0.59,0,"eSPN","STAMBPL1"
"GRIP12",0,0.672283070596476,1,0.997,0,"eSPN","GRIP1"
"KIT1",0,0.670670136303019,0.621,0.064,0,"eSPN","KIT"
"DLX6-AS11",0,0.669314280744829,0.879,0.575,0,"eSPN","DLX6-AS1"
"AC092422.12",0,0.668991228788217,0.999,0.951,0,"eSPN","AC092422.1"
"MAP3K1",0,0.666415691738712,0.836,0.506,0,"eSPN","MAP3K1"
"ARL13B",0,0.664193952283222,0.958,0.833,0,"eSPN","ARL13B"
"AC068722.11",0,0.660910578032928,0.543,0.183,0,"eSPN","AC068722.1"
"NRSN11",0,0.652999957483989,0.958,0.768,0,"eSPN","NRSN1"
"PAK5",0,0.651269433067691,0.997,0.949,0,"eSPN","PAK5"
"KCNN21",0,0.650985920438925,0.801,0.499,0,"eSPN","KCNN2"
"CDK171",0,0.65012637469011,0.997,0.978,0,"eSPN","CDK17"
"RIMS2",0,0.642431039092682,1,1,0,"eSPN","RIMS2"
"FLRT22",0,0.634739845881218,0.995,0.968,0,"eSPN","FLRT2"
"PRKACB",0,0.632785769846997,1,0.999,0,"eSPN","PRKACB"
"NR3C22",0,0.628313258254034,0.994,0.963,0,"eSPN","NR3C2"
"SLC8A32",0,0.622868409969039,0.91,0.713,0,"eSPN","SLC8A3"
"NAB11",0,0.622799971481413,0.616,0.108,0,"eSPN","NAB1"
"CACNA1C1",0,0.617086169261773,1,1,0,"eSPN","CACNA1C"
"ASIC2",0,0.613580593491536,1,0.986,0,"eSPN","ASIC2"
"ATP1B11",0,0.603540445424928,0.981,0.894,0,"eSPN","ATP1B1"
"RERG",0,0.601643605070919,1,0.981,0,"eSPN","RERG"
"BRINP1",0,0.598725960497681,0.996,0.98,0,"eSPN","BRINP1"
"CERS61",0,0.596175100473733,1,0.994,0,"eSPN","CERS6"
"GARNL31",0,0.593969536132159,0.918,0.593,0,"eSPN","GARNL3"
"SCD51",0,0.591543413487523,0.979,0.877,0,"eSPN","SCD5"
"RARB2",0,0.590896386579706,1,0.966,0,"eSPN","RARB"
"MIR4500HG",0,0.583906570200874,0.534,0.221,0,"eSPN","MIR4500HG"
"SNTG1",0,0.579184656368579,1,0.998,0,"eSPN","SNTG1"
"VSTM2A1",0,0.578650412544468,0.683,0.288,0,"eSPN","VSTM2A"
"MAP2K1",0,0.57699057752121,0.944,0.759,0,"eSPN","MAP2K1"
"DRD1",0,0.576356268185194,0.851,0.444,0,"eSPN","DRD1"
"CABP1",0,0.571588171288463,0.728,0.388,0,"eSPN","CABP1"
"RPS6KA21",0,0.570735705468635,1,0.995,0,"eSPN","RPS6KA2"
"TIAM22",0,0.568003173396784,0.996,0.956,0,"eSPN","TIAM2"
"NALCN1",0,0.564275390644205,1,0.993,0,"eSPN","NALCN"
"RNF1301",0,0.556818985478565,0.97,0.837,0,"eSPN","RNF130"
"NOS1AP2",0,0.556659046948766,0.65,0.177,0,"eSPN","NOS1AP"
"AC132153.12",0,0.556614918600355,0.417,0.033,0,"eSPN","AC132153.1"
"NAP1L1",0,0.553057572861871,1,0.997,0,"eSPN","NAP1L1"
"TRMT9B",0,0.552645041799479,0.968,0.871,0,"eSPN","TRMT9B"
"PDS5B1",0,0.552467746190508,0.998,0.969,0,"eSPN","PDS5B"
"AL590867.1",0,0.547582988188993,0.358,0.013,0,"eSPN","AL590867.1"
"TMEM150C",0,0.545655910046029,0.642,0.292,0,"eSPN","TMEM150C"
"LYPLA1",0,0.542890573760077,0.716,0.405,0,"eSPN","LYPLA1"
"COBL",0,0.534806284410065,0.997,0.941,0,"eSPN","COBL"
"AC092691.13",0,0.534546205935759,1,0.997,0,"eSPN","AC092691.1"
"IL1RAPL11",0,0.532522351000055,1,0.993,0,"eSPN","IL1RAPL1"
"NRXN21",0,0.52938777084223,0.834,0.501,0,"eSPN","NRXN2"
"TSPEAR1",0,0.52874674474025,0.509,0.109,0,"eSPN","TSPEAR"
"PLCXD32",0,0.528431788568132,0.388,0.057,0,"eSPN","PLCXD3"
"LSAMP3",0,0.521922869088169,1,1,0,"eSPN","LSAMP"
"STXBP5L",0,0.519908395582787,1,1,0,"eSPN","STXBP5L"
"MEIS22",0,0.509173710370491,1,0.96,0,"eSPN","MEIS2"
"RBFOX12",0,0.507522971920585,1,0.999,0,"eSPN","RBFOX1"
"ARHGAP32",0,0.5018711585825,1,0.999,0,"eSPN","ARHGAP32"
"MIR181A1HG2",0,0.501835639208814,0.743,0.407,0,"eSPN","MIR181A1HG"
"PPP1R12B",0,0.498809558649956,1,0.994,0,"eSPN","PPP1R12B"
"MYT1L1",0,0.49630863150001,1,1,0,"eSPN","MYT1L"
"FGF121",0,0.489337595582108,1,0.999,0,"eSPN","FGF12"
"USH2A",0,0.487516999442763,0.421,0.104,0,"eSPN","USH2A"
"EFR3A1",0,0.484448246033527,0.753,0.425,0,"eSPN","EFR3A"
"PTPRQ1",0,0.481019009139973,0.635,0.252,0,"eSPN","PTPRQ"
"NRXN32",0,0.478914202116403,1,1,0,"eSPN","NRXN3"
"TRIO1",0,0.471868607767848,1,0.998,0,"eSPN","TRIO"
"BTBD31",0,0.469059679965351,0.591,0.279,0,"eSPN","BTBD3"
"TRIM91",0,0.468344252873945,1,0.993,0,"eSPN","TRIM9"
"CRHR2",0,0.465880444390988,0.483,0.012,0,"eSPN","CRHR2"
"LMNTD1",0,0.462275124508381,0.177,0.004,0,"eSPN","LMNTD1"
"NRCAM1",0,0.459032068387617,1,0.993,0,"eSPN","NRCAM"
"FRMD31",0,0.450879840686257,0.437,0.101,0,"eSPN","FRMD3"
"ADAM191",0,0.443602525126663,0.49,0.066,0,"eSPN","ADAM19"
"VSTM2A-OT11",0,0.436217572504571,0.576,0.237,0,"eSPN","VSTM2A-OT1"
"INSYN2B",0,0.430624285984603,0.402,0.062,0,"eSPN","INSYN2B"
"GABRA31",0,0.428043126637092,0.467,0.109,0,"eSPN","GABRA3"
"MIR31HG",0,0.426043452670673,0.339,0.015,0,"eSPN","MIR31HG"
"VSNL12",0,0.423319430965705,0.538,0.179,0,"eSPN","VSNL1"
"FCHSD21",0,0.420005359856398,0.615,0.169,0,"eSPN","FCHSD2"
"LINC01735",0,0.419716876962582,0.506,0.105,0,"eSPN","LINC01735"
"CCDC501",0,0.413745163973654,0.489,0.056,0,"eSPN","CCDC50"
"PFKP",0,0.413081177001249,0.569,0.225,0,"eSPN","PFKP"
"MAGI2-AS31",0,0.412729622402867,0.511,0.128,0,"eSPN","MAGI2-AS3"
"JAG1",0,0.412029652187343,0.471,0.161,0,"eSPN","JAG1"
"AC006460.21",0,0.406772076395517,0.432,0.084,0,"eSPN","AC006460.2"
"TTLL91",0,0.406337986298141,0.525,0.21,0,"eSPN","TTLL9"
"SEMA3E1",0,0.402644597277048,0.265,0.058,0,"eSPN","SEMA3E"
"MAST41",0,0.40068397294937,0.597,0.144,0,"eSPN","MAST4"
"LINC00354",0,0.397388691449255,0.457,0.105,0,"eSPN","LINC00354"
"PRKAR2A1",0,0.394412239599867,0.494,0.108,0,"eSPN","PRKAR2A"
"AL133166.1",0,0.389576470741075,0.31,0.065,0,"eSPN","AL133166.1"
"ADGRB31",0,0.387619913534341,1,1,0,"eSPN","ADGRB3"
"SCN5A",0,0.381259585979168,0.375,0.014,0,"eSPN","SCN5A"
"STMN11",0,0.377355714870303,0.46,0.074,0,"eSPN","STMN1"
"TGFA1",0,0.366389241372026,0.454,0.137,0,"eSPN","TGFA"
"KSR11",0,0.364703502962744,0.495,0.144,0,"eSPN","KSR1"
"GSAP1",0,0.352146737340675,0.482,0.156,0,"eSPN","GSAP"
"ZNF6081",0,0.348447819810181,0.482,0.087,0,"eSPN","ZNF608"
"VSTM2L",0,0.341801516151351,0.443,0.112,0,"eSPN","VSTM2L"
"RXRG",0,0.336467154246292,0.424,0.137,0,"eSPN","RXRG"
"ADCY21",0,0.33218528839088,0.414,0.068,0,"eSPN","ADCY2"
"AC090015.1",0,0.322676760445265,0.11,0.003,0,"eSPN","AC090015.1"
"AC061961.1",0,0.304809622416271,0.352,0.027,0,"eSPN","AC061961.1"
"CCDC150",0,0.302793594812864,0.312,0.057,0,"eSPN","CCDC150"
"SYNJ2",0,0.301086891936511,0.391,0.102,0,"eSPN","SYNJ2"
"SPTLC3",0,0.284782515722984,0.273,0.03,0,"eSPN","SPTLC3"
"FRMD6",0,0.280274965023183,0.306,0.022,0,"eSPN","FRMD6"
"LINC01550",0,0.273434739876822,0.284,0.052,0,"eSPN","LINC01550"
"LAMA31",0,0.270650649982465,0.182,0.021,0,"eSPN","LAMA3"
"FRMD7",0,0.269276872872943,0.238,0.001,0,"eSPN","FRMD7"
"CRHBP",0,0.264303249020609,0.314,0.029,0,"eSPN","CRHBP"
"DPP101",0,0.261302150964802,0.977,0.848,0,"eSPN","DPP10"
"PKDCC",0,0.256047288404985,0.284,0.007,0,"eSPN","PKDCC"
"LECT2",0,0.255181859985268,0.258,0.008,0,"eSPN","LECT2"
"AC020911.2",0,0.254400195675808,0.274,0.052,0,"eSPN","AC020911.2"
"RASAL22",4.32170666495792e-307,0.444716587114358,1,0.999,1.41125331144201e-302,"eSPN","RASAL2"
"PTPRS2",2.35010400776244e-306,0.470285482775329,0.912,0.688,7.67426463734825e-302,"eSPN","PTPRS"
"KIAA1549",5.47926986230651e-305,0.497049552457211,0.937,0.773,1.78925557353619e-300,"eSPN","KIAA1549"
"CAMK2A",4.10622531056138e-303,0.48622022205275,0.981,0.884,1.34088787516382e-298,"eSPN","CAMK2A"
"SCN3A",3.31973024983783e-301,0.433634845391157,0.999,0.999,1.08405791308454e-296,"eSPN","SCN3A"
"PRLR",9.03873612763039e-301,0.635453207730347,0.777,0.489,2.9515992824777e-296,"eSPN","PRLR"
"COX10-AS1",6.31484430397245e-293,0.587469981460207,0.961,0.84,2.0621124074622e-288,"eSPN","COX10-AS1"
"MPPED21",1.28056299675342e-290,0.53813136011805,0.999,0.986,4.18167846589831e-286,"eSPN","MPPED2"
"PIK3R1",9.4818637092337e-290,0.598582285269963,0.969,0.91,3.09630259425027e-285,"eSPN","PIK3R1"
"ATP2B2",1.5031597621959e-288,0.457341099600625,0.999,0.993,4.90856820345073e-284,"eSPN","ATP2B2"
"KIAA1549L",7.00360489441469e-286,0.49524491042569,0.999,0.989,2.28702717827112e-281,"eSPN","KIAA1549L"
"NPAS22",5.12810575401662e-285,0.568448749281287,0.998,0.965,1.67458293397413e-280,"eSPN","NPAS2"
"FNIP21",2.39681079092247e-284,0.466878501279303,0.893,0.684,7.82678563775732e-280,"eSPN","FNIP2"
"KAT2B",6.36308238010045e-284,0.475717142722552,0.777,0.505,2.0778645512218e-279,"eSPN","KAT2B"
"MRTFB1",1.60262530511942e-283,0.427729745762625,1,0.996,5.23337293386748e-279,"eSPN","MRTFB"
"CLASP1",1.45291297301239e-281,0.433017760315478,1,0.999,4.74448731337195e-277,"eSPN","CLASP1"
"LINC02119",4.40073017406698e-281,0.261033377708795,0.202,0.038,1.43705843834157e-276,"eSPN","LINC02119"
"POLA11",9.6862619403584e-278,0.470647134745873,0.755,0.447,3.16304883662404e-273,"eSPN","POLA1"
"RYR31",6.3832263747104e-275,0.411231282665168,1,0.969,2.08444257266168e-270,"eSPN","RYR3"
"CDH132",2.56858545498467e-274,0.444924688789269,0.29,0.074,8.38771580325243e-270,"eSPN","CDH13"
"NIPAL2",1.03674719551043e-273,0.519966490067018,0.816,0.552,3.3854979669393e-269,"eSPN","NIPAL2"
"NOVA1",1.56825458932338e-273,0.530198445114035,1,0.997,5.12113536143549e-269,"eSPN","NOVA1"
