"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PCSK2",1.86826144529394e-48,0.572911297001065,0.978,0.994,6.10080774960735e-44,"SPN_patch","PCSK2"
"CADM1",2.43506805195441e-48,0.376249621710231,0.993,0.99,7.95171472365713e-44,"SPN_patch","CADM1"
"TRPS11",2.09476206137805e-47,0.455498804373706,0.985,0.954,6.84044551143001e-43,"SPN_patch","TRPS1"
"KITLG1",2.45059111947237e-47,0.269871934350241,0.392,0.186,8.00240530063701e-43,"SPN_patch","KITLG"
"DISC1FP11",6.98419902014866e-47,0.272629416453769,0.217,0.076,2.28069019002954e-42,"SPN_patch","DISC1FP1"
"SPECC11",7.0882472824224e-47,0.41521643918213,0.869,0.765,2.31466715007504e-42,"SPN_patch","SPECC1"
"AC011246.11",4.77642838818775e-46,0.786396320166929,0.721,0.569,1.55974269016271e-41,"SPN_patch","AC011246.1"
"AC023480.1",7.70753006360249e-46,0.572105344698772,0.869,0.791,2.51689394226939e-41,"SPN_patch","AC023480.1"
"LRRC391",3.23160430474392e-45,0.264032070626565,0.484,0.267,1.05528038571413e-40,"SPN_patch","LRRC39"
"PMEPA1",6.2229410767026e-45,0.34320188906468,0.681,0.475,2.03210140859724e-40,"SPN_patch","PMEPA1"
"AC009318.1",7.6913114438519e-45,0.323425390317388,0.695,0.468,2.51159775198984e-40,"SPN_patch","AC009318.1"
"GPR158",1.06754983950073e-44,0.329808908258745,1,0.991,3.48608400088964e-40,"SPN_patch","GPR158"
"LINC014701",1.67321554468905e-44,0.493692540190696,0.214,0.079,5.46388536118208e-40,"SPN_patch","LINC01470"
"TIAM21",4.93664486620714e-44,0.322241645165472,0.973,0.958,1.61206138105994e-39,"SPN_patch","TIAM2"
"OCA21",1.37819871691541e-43,0.348980708400176,0.59,0.362,4.50050791008727e-39,"SPN_patch","OCA2"
"TRIM9",1.44440491279894e-43,0.256014689627073,1,0.993,4.71670424274494e-39,"SPN_patch","TRIM9"
"TMEFF1",1.46248141281203e-43,0.36171855689452,0.939,0.912,4.77573305353768e-39,"SPN_patch","TMEFF1"
"IPCEF1",6.03900479282141e-43,0.275235205540996,0.748,0.511,1.97203701509583e-38,"SPN_patch","IPCEF1"
"SVIL",1.76301825333708e-42,0.345719738789867,0.482,0.28,5.75713610627223e-38,"SPN_patch","SVIL"
"PDE8B",3.37962332352465e-42,0.383726289510338,0.941,0.938,1.10361599629698e-37,"SPN_patch","PDE8B"
"ZNF385D2",5.70108949288254e-42,0.43032859257494,0.889,0.808,1.86169077390079e-37,"SPN_patch","ZNF385D"
"CDH7",8.22536547046773e-42,0.468835975747443,0.927,0.895,2.68599309438124e-37,"SPN_patch","CDH7"
