"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"SEMA3A",4.73744477193636e-136,0.529774478374658,0.958,0.795,1.53829569189546e-131,"eSPN","SEMA3A",0.163,0.0863532399750693
"GALNT1",1.34444817449985e-131,0.414497384031447,0.992,0.964,4.36555766741847e-127,"eSPN","GALNT1",0.028,0.0116059267528805
"NDRG4",2.66122165112702e-131,0.332705658126913,0.995,0.979,8.64125282337456e-127,"eSPN","NDRG4",0.016,0.00532329053003062
"ATP8B1",3.38455613589228e-131,0.275780493151329,0.495,0.228,1.09899922288558e-126,"eSPN","ATP8B1",0.267,0.0736333916714048
"SYNDIG1",3.12593776759124e-129,0.440615930786776,0.958,0.852,1.01502325251455e-124,"eSPN","SYNDIG1",0.106,0.0467052886633982
"NUP93",1.04408888118904e-128,0.370431981008202,0.999,0.991,3.39026100610895e-124,"eSPN","NUP93",0.00800000000000001,0.00296345584806561
"ZMYND8",5.41488061505333e-128,0.367384010709289,1,0.995,1.75826588451397e-123,"eSPN","ZMYND8",0.005,0.00183692005354645
"KCNT1",3.73235952634095e-127,0.412886562966175,0.938,0.823,1.21193446179817e-122,"eSPN","KCNT1",0.115,0.0474819547411102
"SHTN1",1.02567068971157e-125,0.357492703668558,0.995,0.95,3.33045529656245e-121,"eSPN","SHTN1",0.045,0.0160871716650851
"DIPK1A",2.40144103591171e-125,0.374987353257027,0.998,0.991,7.79771918770893e-121,"eSPN","DIPK1A",0.00700000000000001,0.00262491147279919
"WWC2",4.25962088551566e-122,0.330984128563294,0.96,0.831,1.38314149773579e-117,"eSPN","WWC2",0.129,0.0426969525846649
"TANK",4.29105652981671e-122,0.368874145549446,0.992,0.967,1.39334896579678e-117,"eSPN","TANK",0.025,0.00922185363873615
"EEPD1",3.05133754828982e-120,0.348942367120678,0.924,0.769,9.90799815305189e-116,"eSPN","EEPD1",0.155,0.0540860669037051
"TMEM132B",6.45249573953255e-118,0.316171203658259,1,0.998,2.09518989158361e-113,"eSPN","TMEM132B",0.002,0.000632342407316518
"SSBP3",9.32404634631742e-118,0.352395882025929,0.979,0.92,3.02761108911273e-113,"eSPN","SSBP3",0.0589999999999999,0.0207913570395298
"ADAM9",3.43753685159992e-117,0.275402295831649,0.873,0.652,1.11620259108301e-112,"eSPN","ADAM9",0.221,0.0608639073787944
"DOK6",7.72631790016762e-117,0.446605232180107,0.997,0.996,2.50881268536343e-112,"eSPN","DOK6",0.001,0.000446605232180107
"SVIL",1.75626677782848e-115,0.388466423314423,0.576,0.331,5.70277385428686e-111,"eSPN","SVIL",0.245,0.0951742737120337
"LRPAP1",1.42591338634993e-114,0.329383658549988,0.968,0.879,4.63008335681686e-110,"eSPN","LRPAP1",0.089,0.0293151456109489
"SLC41A2",4.00427111531088e-112,0.321671665095112,0.993,0.966,1.30022687385259e-107,"eSPN","SLC41A2",0.027,0.00868513495756803
"DGKZ",7.11122413023086e-112,0.30376749088108,0.972,0.887,2.30908558732726e-107,"eSPN","DGKZ",0.085,0.0258202367248918
"PDE4A",4.44931099093318e-111,0.32126823638336,0.927,0.772,1.44473577186591e-106,"eSPN","PDE4A",0.155,0.0497965766394208
"TRANK1",1.16978558108982e-110,0.342198199307928,0.988,0.964,3.79841076035676e-106,"eSPN","TRANK1",0.024,0.00821275678339027
"DLGAP4",5.09862666806579e-106,0.321791905989667,1,0.994,1.65557506538764e-101,"eSPN","DLGAP4",0.00600000000000001,0.001930751435938
"ABCB9",8.2215818811711e-106,0.313956076154239,0.953,0.853,2.66962985263507e-101,"eSPN","ABCB9",0.1,0.0313956076154239
"KCNH3",3.48708630445918e-105,0.277458882334654,0.892,0.692,1.13229179392094e-100,"eSPN","KCNH3",0.2,0.0554917764669307
"DLG3",6.75030950879394e-105,0.257669635056239,0.883,0.684,2.19189300060048e-100,"eSPN","DLG3",0.199,0.0512762573761915
"CHL1",4.82934694804022e-101,0.44452472644517,0.996,0.995,1.56813724749814e-96,"eSPN","CHL1",0.001,0.00044452472644517
"NECTIN3",9.25658161898829e-101,0.321092044315652,0.536,0.299,3.00570461750169e-96,"eSPN","NECTIN3",0.237,0.0760988145028095
"RNASET2",3.79851694117628e-98,0.266502949882124,0.947,0.813,1.23341643596935e-93,"eSPN","RNASET2",0.134,0.0357113952842046
"LRRC8C",7.76299047592603e-98,0.336702446835732,0.87,0.685,2.52072063743794e-93,"eSPN","LRRC8C",0.185,0.0622899526646103
"BZW2",9.76619132914152e-98,0.323493786581351,0.965,0.887,3.17117998648554e-93,"eSPN","BZW2",0.078,0.0252325153533453
"GRIA3",4.1102020705922e-97,0.309775565226777,1,0.996,1.33462371434199e-92,"eSPN","GRIA3",0.004,0.00123910226090711
"CPE",4.32744815826793e-97,0.322298056417493,1,0.998,1.40516569147118e-92,"eSPN","CPE",0.002,0.000644596112834987
"PITPNM2",1.7108911918668e-96,0.29886961312845,0.981,0.929,5.55543478911069e-92,"eSPN","PITPNM2",0.0519999999999999,0.0155412198826794
"FAM171B",1.45205541230705e-95,0.349787965334755,0.995,0.983,4.71496912930223e-91,"eSPN","FAM171B",0.012,0.00419745558401706
"NF2",2.12145134485984e-95,0.265115390153112,0.848,0.675,6.88856466189439e-91,"eSPN","NF2",0.173,0.0458649624964883
"HECW1",4.92862140012959e-95,0.325597240110563,1,0.992,1.60037265483608e-90,"eSPN","HECW1",0.00800000000000001,0.00260477792088451
"PJA2",3.71692190059742e-93,0.307925992447737,0.998,0.996,1.20692171034299e-88,"eSPN","PJA2",0.002,0.000615851984895475
"NPL",5.00289240184132e-92,0.290937820844287,0.728,0.504,1.6244891918019e-87,"eSPN","NPL",0.224,0.0651700718691203
"PCP4L1",8.19690074763253e-92,0.277255851519782,0.912,0.732,2.66161564176376e-87,"eSPN","PCP4L1",0.18,0.0499060532735608
"B4GALNT3",5.02313135371844e-90,0.260350406724726,0.666,0.434,1.63106098186591e-85,"eSPN","B4GALNT3",0.232,0.0604012943601365
"KLHL21",5.02972515975759e-87,0.336124527264542,1,0.986,1.63320205662489e-82,"eSPN","KLHL21",0.014,0.00470574338170359
"RBFOX3",2.48148987112781e-86,0.267665870022146,1,0.988,8.0576457605391e-82,"eSPN","RBFOX3",0.012,0.00321199044026576
