"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AMPH",0,1.17525238179904,0.969,0.678,0,"non-SPN","AMPH"
"SETBP1",0,1.1698450058732,0.997,0.965,0,"non-SPN","SETBP1"
"AFF2",0,1.16490581961597,0.326,0.034,0,"non-SPN","AFF2"
"MEF2C",0,1.15523993654238,0.666,0.46,0,"non-SPN","MEF2C"
"GARNL3",0,1.15213060285887,0.961,0.573,0,"non-SPN","GARNL3"
"SST",0,1.15074564298054,0.183,0.017,0,"non-SPN","SST"
"ITPR2",0,1.14373331254421,0.639,0.008,0,"non-SPN","ITPR2"
"FOXN3",0,1.14313904943316,0.967,0.696,0,"non-SPN","FOXN3"
"LINC02798",0,1.1406541747591,0.831,0.38,0,"non-SPN","LINC02798"
"FMN1",0,1.13776552194682,0.695,0.17,0,"non-SPN","FMN1"
"MAGI1",0,1.13702484785395,0.999,0.943,0,"non-SPN","MAGI1"
"ADARB2",0,1.13464572546934,0.276,0.06,0,"non-SPN","ADARB2"
"THSD7B",0,1.12929008974539,0.346,0.111,0,"non-SPN","THSD7B"
"TIAM1",0,1.12244913740629,0.985,0.967,0,"non-SPN","TIAM1"
"NXPH2",0,1.10553240582661,0.422,0.001,0,"non-SPN","NXPH2"
"ANKRD44",0,1.09993616777377,0.804,0.301,0,"non-SPN","ANKRD44"
"NRG3",0,1.09955180600646,0.999,0.989,0,"non-SPN","NRG3"
"MTSS1",0,1.0929521097932,0.979,0.85,0,"non-SPN","MTSS1"
"LRFN5",0,1.09154077720059,0.992,0.962,0,"non-SPN","LRFN5"
"PROX1",0,1.08333473010681,0.595,0.012,0,"non-SPN","PROX1"
"TRPC5",0,1.081659525515,0.587,0.01,0,"non-SPN","TRPC5"
"SCN7A",0,1.07650802922926,0.537,0.031,0,"non-SPN","SCN7A"
"ANKFN1",0,1.06458917075983,0.482,0.146,0,"non-SPN","ANKFN1"
"GALNT17",0,1.0607765434066,0.99,0.997,0,"non-SPN","GALNT17"
"SLCO3A1",0,1.06075867216979,0.942,0.701,0,"non-SPN","SLCO3A1"
"CRB1",0,1.0553284765748,0.626,0.234,0,"non-SPN","CRB1"
"EPHA4",0,1.05502118606322,0.977,0.862,0,"non-SPN","EPHA4"
"SEZ6L",0,1.05379096124494,0.642,0.149,0,"non-SPN","SEZ6L"
"SYNPO2",0,1.03825489787402,0.585,0.044,0,"non-SPN","SYNPO2"
"AIG1",0,1.03810200828681,0.988,0.789,0,"non-SPN","AIG1"
"FGF13",0,1.03403032490211,0.9,0.92,0,"non-SPN","FGF13"
"TNR",0,1.03318876872349,0.719,0.258,0,"non-SPN","TNR"
"MPDZ",0,1.03080298983845,0.99,0.809,0,"non-SPN","MPDZ"
"GAB2",0,1.02290931504706,0.71,0.196,0,"non-SPN","GAB2"
"HSP90AB1",0,1.02123775112526,0.928,0.636,0,"non-SPN","HSP90AB1"
"BICD1",0,1.01689223309292,0.995,0.874,0,"non-SPN","BICD1"
"RAB3IP",0,1.01287537594622,0.751,0.442,0,"non-SPN","RAB3IP"
"CHD7",0,1.01042324759492,0.58,0.053,0,"non-SPN","CHD7"
"KCNQ1OT1",0,1.00659438086054,0.856,0.588,0,"non-SPN","KCNQ1OT1"
"GABRG3",0,1.0064549289421,0.939,0.946,0,"non-SPN","GABRG3"
"MSI2",0,1.00520639198963,0.972,0.934,0,"non-SPN","MSI2"
"TAFA1",0,1.00192792230119,0.244,0.064,0,"non-SPN","TAFA1"
"EPB41L3",0,0.995863328992349,0.981,0.928,0,"non-SPN","EPB41L3"
"SLIT1",0,0.995838933954845,0.624,0.268,0,"non-SPN","SLIT1"
"PELI2",0,0.993818739150917,0.661,0.285,0,"non-SPN","PELI2"
"FIGN",0,0.988909364605542,0.36,0.045,0,"non-SPN","FIGN"
