"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"PTBP2",2.20480505277146e-239,0.351639951894563,0.994,0.985,7.15922248685421e-235,"non-SPN","PTBP2",0.00900000000000001,0.00316475956705107
"PRPF40B",4.47760641919681e-239,0.279219698702162,0.845,0.687,1.4539235803774e-234,"non-SPN","PRPF40B",0.158,0.0441167123949416
"MTX2",1.16194659291613e-238,0.311731151514694,0.978,0.946,3.77295678185798e-234,"non-SPN","MTX2",0.032,0.00997539684847023
"ARHGEF10L",1.26509272105958e-238,0.261726272862001,0.678,0.453,4.10788257455256e-234,"non-SPN","ARHGEF10L",0.225,0.0588884113939502
"RPL18",2.04247276318246e-238,0.305122491136395,0.614,0.368,6.63211330932978e-234,"non-SPN","RPL18",0.246,0.0750601328195531
"FTL",3.32478703344311e-238,0.371218664191081,0.684,0.469,1.07959159762931e-233,"non-SPN","FTL",0.215,0.0798120128010824
"TTLL7",8.32479530193546e-238,0.330659652790421,1,0.997,2.70314428249146e-233,"non-SPN","TTLL7",0.003,0.000991978958371264
"TBC1D24",2.06776195886343e-237,0.255864224419331,0.647,0.415,6.71422985662544e-233,"non-SPN","TBC1D24",0.232,0.0593605000652847
"ZFYVE9",1.06157626775372e-236,0.328578588878941,0.997,0.988,3.44704429902312e-232,"non-SPN","ZFYVE9",0.00900000000000001,0.00295720729991047
"MORF4L1",1.37089439510933e-236,0.30416318599758,0.944,0.872,4.45143119035952e-232,"non-SPN","MORF4L1",0.072,0.0218997493918258
"ZNF680",2.01221035461094e-236,0.293199338871502,0.818,0.653,6.53384824245718e-232,"non-SPN","ZNF680",0.165,0.0483778909137977
"ZZEF1",8.77126124339332e-236,0.280074076501408,0.953,0.897,2.84811623834224e-231,"non-SPN","ZZEF1",0.0559999999999999,0.0156841482840788
"MRTFA",9.04064816166807e-236,0.342869465138082,0.982,0.944,2.93558886457524e-231,"non-SPN","MRTFA",0.038,0.0130290396752471
"DHX32",1.2284301338124e-235,0.296563289581131,0.818,0.657,3.98883548750225e-231,"non-SPN","DHX32",0.161,0.0477466896225621
"TMEM230",1.54991556522069e-235,0.25930390444295,0.63,0.392,5.03273083182809e-231,"non-SPN","TMEM230",0.238,0.0617143292574221
"BCL7C",5.72401786900878e-235,0.265525980888113,0.556,0.308,1.85864584224584e-230,"non-SPN","BCL7C",0.248,0.0658504432602521
"UBR2",1.77775740764497e-234,0.322458859173024,0.999,0.991,5.77255607836398e-230,"non-SPN","UBR2",0.00800000000000001,0.00257967087338419
"YWHAG",1.87727595249307e-234,0.353254432694502,0.978,0.947,6.09570274534025e-230,"non-SPN","YWHAG",0.031,0.0109508874135296
"RNF169",3.42447234673841e-234,0.272993159732895,0.875,0.737,1.11196041570943e-229,"non-SPN","RNF169",0.138,0.0376730560431395
"ITPK1",1.08393595196783e-233,0.30647796817493,0.806,0.648,3.51964842963473e-229,"non-SPN","ITPK1",0.158,0.048423518971639
"VDAC3",7.50362962919035e-233,0.26540486410828,0.772,0.602,2.4365035768944e-228,"non-SPN","VDAC3",0.17,0.0451188268984076
"KPNA3",1.98780297172512e-232,0.301877497125265,0.953,0.885,6.45459502948863e-228,"non-SPN","KPNA3",0.0679999999999999,0.020527669804518
"ATRN",2.94830769154299e-232,0.299358998018126,0.989,0.965,9.57344990520923e-228,"non-SPN","ATRN",0.024,0.00718461595243502
"MEF2C",6.08935711634965e-232,0.897494576861319,0.762,0.68,1.97727514924989e-227,"non-SPN","MEF2C",0.082,0.0735945553026281
"TSPYL2",1.78659971856104e-231,0.277935813716402,0.882,0.753,5.80126794613956e-227,"non-SPN","TSPYL2",0.129,0.0358537199694159
"RAB6B",2.97649909363399e-231,0.274241596678674,0.899,0.79,9.66499020693892e-227,"non-SPN","RAB6B",0.109,0.0298923340379754
"SLAIN1",3.8220947635597e-231,0.313095260343129,0.983,0.962,1.24107239067547e-226,"non-SPN","SLAIN1",0.021,0.00657500046720572
"DGCR2",1.08591706464477e-230,0.265478215013975,0.909,0.792,3.52608130060805e-226,"non-SPN","DGCR2",0.117,0.0310609511566351
"CHRNA7",2.14646003484474e-230,0.576824470565399,0.457,0.236,6.96977037914436e-226,"non-SPN","CHRNA7",0.221,0.127478207994953
"ARHGAP22",2.94822208790671e-230,0.314278114709871,0.675,0.458,9.57317194164189e-226,"non-SPN","ARHGAP22",0.217,0.068198350892042
"SPRED2",4.41489682883593e-230,0.39853135205442,0.816,0.639,1.43356114929132e-225,"non-SPN","SPRED2",0.177,0.0705400493136322
"HSPA8",8.1052300390624e-230,0.262364408747182,0.497,0.258,2.63184924598395e-225,"non-SPN","HSPA8",0.239,0.0627050936905764
"ADNP",2.14840856107797e-229,0.297791091254604,0.982,0.935,6.97609743867627e-225,"non-SPN","ADNP",0.0469999999999999,0.0139961812889664
"PCDH8",2.92704355165605e-229,0.384757923309964,0.594,0.381,9.50440311658235e-225,"non-SPN","PCDH8",0.213,0.0819534376650223
"NARS2",1.54073827276367e-227,0.299872042424396,0.722,0.51,5.00293124549092e-223,"non-SPN","NARS2",0.212,0.0635728729939719
"TUBA1B",4.9249006607535e-227,0.338371206570901,0.81,0.637,1.59916449355327e-222,"non-SPN","TUBA1B",0.173,0.0585382187367659
"BCLAF3",6.02688492234189e-227,0.257973111675837,0.815,0.657,1.95698980313363e-222,"non-SPN","BCLAF3",0.158,0.0407597516447823
"CLEC2L",1.63794529859264e-226,0.287995266321947,0.618,0.393,5.31857217906016e-222,"non-SPN","CLEC2L",0.225,0.0647989349224381
"NSD2",2.06875102462134e-226,0.296417224584472,0.972,0.908,6.71744145204795e-222,"non-SPN","NSD2",0.0639999999999999,0.0189707023734062
"KDM6A",6.01532038765494e-226,0.302959616687884,0.982,0.939,1.95323468307544e-221,"non-SPN","KDM6A",0.043,0.013027263517579
"DDX6",7.17177515459955e-226,0.286162351783846,0.964,0.907,2.32874711045002e-221,"non-SPN","DDX6",0.0569999999999999,0.0163112540516792
"DCP2",1.67476887107922e-225,0.273626030721268,0.808,0.638,5.43814200128133e-221,"non-SPN","DCP2",0.17,0.0465164252226156
"TIA1",2.03776787980987e-225,0.269616815174165,0.946,0.865,6.61683608253062e-221,"non-SPN","TIA1",0.081,0.0218389620291073
"CHPT1",1.05431973410594e-224,0.304426899637699,0.971,0.927,3.42348160861541e-220,"non-SPN","CHPT1",0.0439999999999999,0.0133947835840587
"PLPP1",1.10634607563678e-224,0.315475037449275,0.948,0.868,3.59241634220017e-220,"non-SPN","PLPP1",0.08,0.0252380029959419
"CLOCK",3.58285967568863e-224,0.333708014470167,0.988,0.965,1.16339036529285e-219,"non-SPN","CLOCK",0.023,0.00767528433281384
"BICDL1",4.30693119727311e-224,0.31418448730977,0.97,0.903,1.39850362906655e-219,"non-SPN","BICDL1",0.0669999999999999,0.0210503606497546
